Period,Region,Dealer,Model,Variant,Factory,Forecast Units,Actual Units,Order Bank Units,Production Capacity Units,Available Slots,Finished Goods Units,Inventory Days,Forecast Version
2025-09,SA,Adelaide Channel,Model H,H-XL,Plant 2,63,51,23,420,32,106,61,FY26-Q1-DEMO
2025-09,SA,Adelaide Channel,Model J,J-STD,Plant 1,65,65,28,520,58,42,37,FY26-Q1-DEMO
2025-09,SA,Adelaide Channel,Model J,J-PRO,Plant 1,65,65,28,520,58,56,28,FY26-Q1-DEMO
2025-09,SA,Adelaide Channel,Model K,K-STD,Plant 3,66,66,28,480,58,41,38,FY26-Q1-DEMO
2025-09,SA,Adelaide Channel,Model K,K-LITE,Plant 3,66,66,28,480,58,50,42,FY26-Q1-DEMO
2025-09,SA,Adelaide Channel,Model L,L-STD,Plant 1,67,57,25,520,58,40,39,FY26-Q1-DEMO
2025-09,SA,Adelaide Channel,Model L,L-MAX,Plant 1,67,57,25,520,58,55,34,FY26-Q1-DEMO
2025-10,QLD,Northside Motors,Model H,H-STD,Plant 2,52,66,28,420,28,56,35,FY26-Q1-DEMO
2025-10,QLD,Northside Motors,Model H,H-XL,Plant 2,52,51,23,420,28,114,64,FY26-Q1-DEMO
2025-10,QLD,Northside Motors,Model J,J-STD,Plant 1,50,50,23,520,57,58,37,FY26-Q1-DEMO
2025-10,QLD,Northside Motors,Model J,J-PRO,Plant 1,50,50,23,520,57,44,28,FY26-Q1-DEMO
2025-10,QLD,Northside Motors,Model K,K-STD,Plant 3,49,49,22,480,57,59,38,FY26-Q1-DEMO
2025-10,QLD,Northside Motors,Model K,K-LITE,Plant 3,49,49,22,480,57,58,42,FY26-Q1-DEMO
2025-10,QLD,Northside Motors,Model L,L-STD,Plant 1,48,48,22,520,57,20,39,FY26-Q1-DEMO
2025-10,QLD,Northside Motors,Model L,L-MAX,Plant 1,48,48,22,520,57,45,34,FY26-Q1-DEMO
2025-10,QLD,Coastal Equipment,Model H,H-STD,Plant 2,52,66,28,420,28,35,35,FY26-Q1-DEMO
2025-10,QLD,Coastal Equipment,Model H,H-XL,Plant 2,52,51,23,420,28,114,64,FY26-Q1-DEMO
2025-10,QLD,Coastal Equipment,Model J,J-STD,Plant 1,50,50,23,520,57,37,37,FY26-Q1-DEMO
2025-10,QLD,Coastal Equipment,Model J,J-PRO,Plant 1,50,50,23,520,57,23,28,FY26-Q1-DEMO
2025-10,QLD,Coastal Equipment,Model K,K-STD,Plant 3,49,49,22,480,57,38,38,FY26-Q1-DEMO
2025-10,QLD,Coastal Equipment,Model K,K-LITE,Plant 3,49,49,22,480,57,27,42,FY26-Q1-DEMO
2025-10,QLD,Coastal Equipment,Model L,L-STD,Plant 1,48,48,22,520,57,39,39,FY26-Q1-DEMO
2025-10,QLD,Coastal Equipment,Model L,L-MAX,Plant 1,48,48,22,520,57,24,34,FY26-Q1-DEMO
2025-10,NSW,Harbour Dealership,Model H,H-STD,Plant 2,55,66,28,420,28,24,35,FY26-Q1-DEMO
2025-10,NSW,Harbour Dealership,Model H,H-XL,Plant 2,55,51,23,420,28,114,64,FY26-Q1-DEMO
2025-10,NSW,Harbour Dealership,Model J,J-STD,Plant 1,57,57,25,520,57,22,37,FY26-Q1-DEMO
2025-10,NSW,Harbour Dealership,Model J,J-PRO,Plant 1,57,57,25,520,57,36,28,FY26-Q1-DEMO
2025-10,NSW,Harbour Dealership,Model K,K-STD,Plant 3,58,58,25,480,57,21,38,FY26-Q1-DEMO
2025-10,NSW,Harbour Dealership,Model K,K-LITE,Plant 3,58,58,25,480,57,58,42,FY26-Q1-DEMO
2025-10,NSW,Harbour Dealership,Model L,L-STD,Plant 1,59,59,26,520,57,20,39,FY26-Q1-DEMO
2025-10,NSW,Harbour Dealership,Model L,L-MAX,Plant 1,59,59,26,520,57,35,34,FY26-Q1-DEMO
2025-10,NSW,Western Plains,Model H,H-STD,Plant 2,55,66,28,420,28,27,35,FY26-Q1-DEMO
2025-10,NSW,Western Plains,Model H,H-XL,Plant 2,55,51,23,420,28,114,64,FY26-Q1-DEMO
2025-10,NSW,Western Plains,Model J,J-STD,Plant 1,57,57,25,520,57,29,37,FY26-Q1-DEMO
2025-10,NSW,Western Plains,Model J,J-PRO,Plant 1,57,57,25,520,57,55,28,FY26-Q1-DEMO
2025-10,NSW,Western Plains,Model K,K-STD,Plant 3,58,58,25,480,57,30,38,FY26-Q1-DEMO
2025-10,NSW,Western Plains,Model K,K-LITE,Plant 3,58,58,25,480,57,59,42,FY26-Q1-DEMO
2025-10,NSW,Western Plains,Model L,L-STD,Plant 1,59,59,26,520,57,31,39,FY26-Q1-DEMO
2025-10,NSW,Western Plains,Model L,L-MAX,Plant 1,59,59,26,520,57,56,34,FY26-Q1-DEMO
2025-10,VIC,Metro Industrial,Model H,H-STD,Plant 2,59,62,27,420,28,34,35,FY26-Q1-DEMO
2025-10,VIC,Metro Industrial,Model H,H-XL,Plant 2,59,48,22,420,28,114,64,FY26-Q1-DEMO
2025-10,VIC,Metro Industrial,Model J,J-STD,Plant 1,61,61,26,520,57,36,37,FY26-Q1-DEMO
2025-10,VIC,Metro Industrial,Model J,J-PRO,Plant 1,61,61,26,520,57,22,28,FY26-Q1-DEMO
2025-10,VIC,Metro Industrial,Model K,K-STD,Plant 3,62,58,25,480,57,37,38,FY26-Q1-DEMO
2025-10,VIC,Metro Industrial,Model K,K-LITE,Plant 3,62,58,25,480,57,36,42,FY26-Q1-DEMO
2025-10,VIC,Metro Industrial,Model L,L-STD,Plant 1,63,63,27,520,57,38,39,FY26-Q1-DEMO
2025-10,VIC,Metro Industrial,Model L,L-MAX,Plant 1,63,63,27,520,57,23,34,FY26-Q1-DEMO
2025-10,VIC,Gippsland Trade,Model H,H-STD,Plant 2,59,62,27,420,28,38,35,FY26-Q1-DEMO
2025-10,VIC,Gippsland Trade,Model H,H-XL,Plant 2,59,48,22,420,28,114,64,FY26-Q1-DEMO
2025-10,VIC,Gippsland Trade,Model J,J-STD,Plant 1,61,61,26,520,57,36,37,FY26-Q1-DEMO
2025-10,VIC,Gippsland Trade,Model J,J-PRO,Plant 1,61,61,26,520,57,50,28,FY26-Q1-DEMO
2025-10,VIC,Gippsland Trade,Model K,K-STD,Plant 3,62,58,25,480,57,35,38,FY26-Q1-DEMO
2025-10,VIC,Gippsland Trade,Model K,K-LITE,Plant 3,62,58,25,480,57,44,42,FY26-Q1-DEMO
2025-10,VIC,Gippsland Trade,Model L,L-STD,Plant 1,63,63,27,520,57,34,39,FY26-Q1-DEMO
2025-10,VIC,Gippsland Trade,Model L,L-MAX,Plant 1,63,63,27,520,57,49,34,FY26-Q1-DEMO
2025-10,WA,West Coast Machinery,Model H,H-STD,Plant 2,55,58,25,420,28,23,35,FY26-Q1-DEMO
2025-10,WA,West Coast Machinery,Model H,H-XL,Plant 2,55,45,21,420,28,114,64,FY26-Q1-DEMO
2025-10,WA,West Coast Machinery,Model J,J-STD,Plant 1,57,45,21,520,57,25,37,FY26-Q1-DEMO
2025-10,WA,West Coast Machinery,Model J,J-PRO,Plant 1,57,45,21,520,57,51,28,FY26-Q1-DEMO
2025-10,WA,West Coast Machinery,Model K,K-STD,Plant 3,58,58,25,480,57,26,38,FY26-Q1-DEMO
2025-10,WA,West Coast Machinery,Model K,K-LITE,Plant 3,58,58,25,480,57,47,42,FY26-Q1-DEMO
2025-10,WA,West Coast Machinery,Model L,L-STD,Plant 1,59,59,26,520,57,27,39,FY26-Q1-DEMO
2025-10,WA,West Coast Machinery,Model L,L-MAX,Plant 1,59,59,26,520,57,52,34,FY26-Q1-DEMO
2025-10,WA,Pilbara Supply,Model H,H-STD,Plant 2,55,58,25,420,28,44,35,FY26-Q1-DEMO
2025-10,WA,Pilbara Supply,Model H,H-XL,Plant 2,55,45,21,420,28,114,64,FY26-Q1-DEMO
2025-10,WA,Pilbara Supply,Model J,J-STD,Plant 1,57,45,21,520,57,42,37,FY26-Q1-DEMO
2025-10,WA,Pilbara Supply,Model J,J-PRO,Plant 1,57,45,21,520,57,56,28,FY26-Q1-DEMO
2025-10,WA,Pilbara Supply,Model K,K-STD,Plant 3,58,58,25,480,57,41,38,FY26-Q1-DEMO
2025-10,WA,Pilbara Supply,Model K,K-LITE,Plant 3,58,58,25,480,57,58,42,FY26-Q1-DEMO
2025-10,WA,Pilbara Supply,Model L,L-STD,Plant 1,59,59,26,520,57,40,39,FY26-Q1-DEMO
2025-10,WA,Pilbara Supply,Model L,L-MAX,Plant 1,59,59,26,520,57,55,34,FY26-Q1-DEMO
2025-10,SA,Southern Fleet,Model H,H-STD,Plant 2,65,68,29,420,28,56,35,FY26-Q1-DEMO
2025-10,SA,Southern Fleet,Model H,H-XL,Plant 2,65,53,24,420,28,114,64,FY26-Q1-DEMO
2025-10,SA,Southern Fleet,Model J,J-STD,Plant 1,67,67,28,520,57,54,37,FY26-Q1-DEMO
2025-10,SA,Southern Fleet,Model J,J-PRO,Plant 1,67,67,28,520,57,28,28,FY26-Q1-DEMO
2025-10,SA,Southern Fleet,Model K,K-STD,Plant 3,68,68,29,480,57,53,38,FY26-Q1-DEMO
2025-10,SA,Southern Fleet,Model K,K-LITE,Plant 3,68,68,29,480,57,58,42,FY26-Q1-DEMO
2025-10,SA,Southern Fleet,Model L,L-STD,Plant 1,69,57,25,520,57,52,39,FY26-Q1-DEMO
2025-10,SA,Southern Fleet,Model L,L-MAX,Plant 1,69,57,25,520,57,27,34,FY26-Q1-DEMO
2025-10,SA,Adelaide Channel,Model H,H-STD,Plant 2,65,68,29,420,28,44,35,FY26-Q1-DEMO
2025-10,SA,Adelaide Channel,Model H,H-XL,Plant 2,65,53,24,420,28,114,64,FY26-Q1-DEMO
2025-10,SA,Adelaide Channel,Model J,J-STD,Plant 1,67,67,28,520,57,42,37,FY26-Q1-DEMO
2025-10,SA,Adelaide Channel,Model J,J-PRO,Plant 1,67,67,28,520,57,56,28,FY26-Q1-DEMO
2025-10,SA,Adelaide Channel,Model K,K-STD,Plant 3,68,68,29,480,57,41,38,FY26-Q1-DEMO
2025-10,SA,Adelaide Channel,Model K,K-LITE,Plant 3,68,68,29,480,57,50,42,FY26-Q1-DEMO
2025-10,SA,Adelaide Channel,Model L,L-STD,Plant 1,69,57,25,520,57,40,39,FY26-Q1-DEMO
2025-10,SA,Adelaide Channel,Model L,L-MAX,Plant 1,69,57,25,520,57,55,34,FY26-Q1-DEMO
2025-11,QLD,Northside Motors,Model H,H-STD,Plant 2,54,70,30,420,24,56,35,FY26-Q1-DEMO
2025-11,QLD,Northside Motors,Model H,H-XL,Plant 2,54,55,24,420,24,122,67,FY26-Q1-DEMO
2025-11,QLD,Northside Motors,Model J,J-STD,Plant 1,52,52,23,520,56,58,37,FY26-Q1-DEMO
2025-11,QLD,Northside Motors,Model J,J-PRO,Plant 1,52,52,23,520,56,44,28,FY26-Q1-DEMO
2025-11,QLD,Northside Motors,Model K,K-STD,Plant 3,51,51,23,480,56,59,38,FY26-Q1-DEMO
2025-11,QLD,Northside Motors,Model K,K-LITE,Plant 3,51,51,23,480,56,58,42,FY26-Q1-DEMO
2025-11,QLD,Northside Motors,Model L,L-STD,Plant 1,50,50,23,520,56,20,39,FY26-Q1-DEMO
2025-11,QLD,Northside Motors,Model L,L-MAX,Plant 1,50,50,23,520,56,45,34,FY26-Q1-DEMO
2025-11,QLD,Coastal Equipment,Model H,H-STD,Plant 2,54,70,30,420,24,35,35,FY26-Q1-DEMO
2025-11,QLD,Coastal Equipment,Model H,H-XL,Plant 2,54,55,24,420,24,122,67,FY26-Q1-DEMO
2025-11,QLD,Coastal Equipment,Model J,J-STD,Plant 1,52,52,23,520,56,37,37,FY26-Q1-DEMO
2025-11,QLD,Coastal Equipment,Model J,J-PRO,Plant 1,52,52,23,520,56,23,28,FY26-Q1-DEMO
2025-11,QLD,Coastal Equipment,Model K,K-STD,Plant 3,51,51,23,480,56,38,38,FY26-Q1-DEMO
2025-11,QLD,Coastal Equipment,Model K,K-LITE,Plant 3,51,51,23,480,56,27,42,FY26-Q1-DEMO
2025-11,QLD,Coastal Equipment,Model L,L-STD,Plant 1,50,50,23,520,56,39,39,FY26-Q1-DEMO
2025-11,QLD,Coastal Equipment,Model L,L-MAX,Plant 1,50,50,23,520,56,24,34,FY26-Q1-DEMO
2025-11,NSW,Harbour Dealership,Model H,H-STD,Plant 2,57,70,30,420,24,24,35,FY26-Q1-DEMO
2025-11,NSW,Harbour Dealership,Model H,H-XL,Plant 2,57,55,24,420,24,122,67,FY26-Q1-DEMO
2025-11,NSW,Harbour Dealership,Model J,J-STD,Plant 1,59,59,26,520,56,22,37,FY26-Q1-DEMO
2025-11,NSW,Harbour Dealership,Model J,J-PRO,Plant 1,59,59,26,520,56,36,28,FY26-Q1-DEMO
2025-11,NSW,Harbour Dealership,Model K,K-STD,Plant 3,60,60,26,480,56,21,38,FY26-Q1-DEMO
2025-11,NSW,Harbour Dealership,Model K,K-LITE,Plant 3,60,60,26,480,56,58,42,FY26-Q1-DEMO
2025-11,NSW,Harbour Dealership,Model L,L-STD,Plant 1,61,61,26,520,56,20,39,FY26-Q1-DEMO
2025-11,NSW,Harbour Dealership,Model L,L-MAX,Plant 1,61,61,26,520,56,35,34,FY26-Q1-DEMO
2025-11,NSW,Western Plains,Model H,H-STD,Plant 2,57,70,30,420,24,27,35,FY26-Q1-DEMO
2025-11,NSW,Western Plains,Model H,H-XL,Plant 2,57,55,24,420,24,122,67,FY26-Q1-DEMO
2025-11,NSW,Western Plains,Model J,J-STD,Plant 1,59,59,26,520,56,29,37,FY26-Q1-DEMO
2025-11,NSW,Western Plains,Model J,J-PRO,Plant 1,59,59,26,520,56,55,28,FY26-Q1-DEMO
2025-11,NSW,Western Plains,Model K,K-STD,Plant 3,60,60,26,480,56,30,38,FY26-Q1-DEMO
2025-11,NSW,Western Plains,Model K,K-LITE,Plant 3,60,60,26,480,56,59,42,FY26-Q1-DEMO
2025-11,NSW,Western Plains,Model L,L-STD,Plant 1,61,61,26,520,56,31,39,FY26-Q1-DEMO
2025-11,NSW,Western Plains,Model L,L-MAX,Plant 1,61,61,26,520,56,56,34,FY26-Q1-DEMO
2025-11,VIC,Metro Industrial,Model H,H-STD,Plant 2,61,64,27,420,24,34,35,FY26-Q1-DEMO
2025-11,VIC,Metro Industrial,Model H,H-XL,Plant 2,61,50,23,420,24,122,67,FY26-Q1-DEMO
2025-11,VIC,Metro Industrial,Model J,J-STD,Plant 1,63,63,27,520,56,36,37,FY26-Q1-DEMO
2025-11,VIC,Metro Industrial,Model J,J-PRO,Plant 1,63,63,27,520,56,22,28,FY26-Q1-DEMO
2025-11,VIC,Metro Industrial,Model K,K-STD,Plant 3,64,60,26,480,56,37,38,FY26-Q1-DEMO
2025-11,VIC,Metro Industrial,Model K,K-LITE,Plant 3,64,60,26,480,56,36,42,FY26-Q1-DEMO
2025-11,VIC,Metro Industrial,Model L,L-STD,Plant 1,65,65,28,520,56,38,39,FY26-Q1-DEMO
2025-11,VIC,Metro Industrial,Model L,L-MAX,Plant 1,65,65,28,520,56,23,34,FY26-Q1-DEMO
2025-11,VIC,Gippsland Trade,Model H,H-STD,Plant 2,61,64,27,420,24,38,35,FY26-Q1-DEMO
2025-11,VIC,Gippsland Trade,Model H,H-XL,Plant 2,61,50,23,420,24,122,67,FY26-Q1-DEMO
2025-11,VIC,Gippsland Trade,Model J,J-STD,Plant 1,63,63,27,520,56,36,37,FY26-Q1-DEMO
2025-11,VIC,Gippsland Trade,Model J,J-PRO,Plant 1,63,63,27,520,56,50,28,FY26-Q1-DEMO
2025-11,VIC,Gippsland Trade,Model K,K-STD,Plant 3,64,60,26,480,56,35,38,FY26-Q1-DEMO
2025-11,VIC,Gippsland Trade,Model K,K-LITE,Plant 3,64,60,26,480,56,44,42,FY26-Q1-DEMO
2025-11,VIC,Gippsland Trade,Model L,L-STD,Plant 1,65,65,28,520,56,34,39,FY26-Q1-DEMO
2025-11,VIC,Gippsland Trade,Model L,L-MAX,Plant 1,65,65,28,520,56,49,34,FY26-Q1-DEMO
2025-11,WA,West Coast Machinery,Model H,H-STD,Plant 2,57,60,26,420,24,23,35,FY26-Q1-DEMO
2025-11,WA,West Coast Machinery,Model H,H-XL,Plant 2,57,47,21,420,24,122,67,FY26-Q1-DEMO
2025-11,WA,West Coast Machinery,Model J,J-STD,Plant 1,59,46,21,520,56,25,37,FY26-Q1-DEMO
2025-11,WA,West Coast Machinery,Model J,J-PRO,Plant 1,59,46,21,520,56,51,28,FY26-Q1-DEMO
2025-11,WA,West Coast Machinery,Model K,K-STD,Plant 3,60,60,26,480,56,26,38,FY26-Q1-DEMO
2025-11,WA,West Coast Machinery,Model K,K-LITE,Plant 3,60,60,26,480,56,47,42,FY26-Q1-DEMO
2025-11,WA,West Coast Machinery,Model L,L-STD,Plant 1,61,61,26,520,56,27,39,FY26-Q1-DEMO
2025-11,WA,West Coast Machinery,Model L,L-MAX,Plant 1,61,61,26,520,56,52,34,FY26-Q1-DEMO
2025-11,WA,Pilbara Supply,Model H,H-STD,Plant 2,57,60,26,420,24,44,35,FY26-Q1-DEMO
2025-11,WA,Pilbara Supply,Model H,H-XL,Plant 2,57,47,21,420,24,122,67,FY26-Q1-DEMO
2025-11,WA,Pilbara Supply,Model J,J-STD,Plant 1,59,46,21,520,56,42,37,FY26-Q1-DEMO
2025-11,WA,Pilbara Supply,Model J,J-PRO,Plant 1,59,46,21,520,56,56,28,FY26-Q1-DEMO
2025-11,WA,Pilbara Supply,Model K,K-STD,Plant 3,60,60,26,480,56,41,38,FY26-Q1-DEMO
2025-11,WA,Pilbara Supply,Model K,K-LITE,Plant 3,60,60,26,480,56,58,42,FY26-Q1-DEMO
2025-11,WA,Pilbara Supply,Model L,L-STD,Plant 1,61,61,26,520,56,40,39,FY26-Q1-DEMO
2025-11,WA,Pilbara Supply,Model L,L-MAX,Plant 1,61,61,26,520,56,55,34,FY26-Q1-DEMO
2025-11,SA,Southern Fleet,Model H,H-STD,Plant 2,67,70,30,420,24,56,35,FY26-Q1-DEMO
2025-11,SA,Southern Fleet,Model H,H-XL,Plant 2,67,55,24,420,24,122,67,FY26-Q1-DEMO
2025-11,SA,Southern Fleet,Model J,J-STD,Plant 1,69,69,29,520,56,54,37,FY26-Q1-DEMO
2025-11,SA,Southern Fleet,Model J,J-PRO,Plant 1,69,69,29,520,56,28,28,FY26-Q1-DEMO
2025-11,SA,Southern Fleet,Model K,K-STD,Plant 3,70,70,30,480,56,53,38,FY26-Q1-DEMO
2025-11,SA,Southern Fleet,Model K,K-LITE,Plant 3,70,70,30,480,56,58,42,FY26-Q1-DEMO
2025-11,SA,Southern Fleet,Model L,L-STD,Plant 1,71,57,25,520,56,52,39,FY26-Q1-DEMO
2025-11,SA,Southern Fleet,Model L,L-MAX,Plant 1,71,57,25,520,56,27,34,FY26-Q1-DEMO
2025-11,SA,Adelaide Channel,Model H,H-STD,Plant 2,67,70,30,420,24,44,35,FY26-Q1-DEMO
2025-11,SA,Adelaide Channel,Model H,H-XL,Plant 2,67,55,24,420,24,122,67,FY26-Q1-DEMO
2025-11,SA,Adelaide Channel,Model J,J-STD,Plant 1,69,69,29,520,56,42,37,FY26-Q1-DEMO
2025-11,SA,Adelaide Channel,Model J,J-PRO,Plant 1,69,69,29,520,56,56,28,FY26-Q1-DEMO
2025-11,SA,Adelaide Channel,Model K,K-STD,Plant 3,70,70,30,480,56,41,38,FY26-Q1-DEMO
2025-11,SA,Adelaide Channel,Model K,K-LITE,Plant 3,70,70,30,480,56,50,42,FY26-Q1-DEMO
2025-11,SA,Adelaide Channel,Model L,L-STD,Plant 1,71,57,25,520,56,40,39,FY26-Q1-DEMO
2025-11,SA,Adelaide Channel,Model L,L-MAX,Plant 1,71,57,25,520,56,55,34,FY26-Q1-DEMO
2025-12,QLD,Northside Motors,Model H,H-STD,Plant 2,56,74,31,420,20,56,35,FY26-Q1-DEMO
2025-12,QLD,Northside Motors,Model H,H-XL,Plant 2,56,58,25,420,20,130,70,FY26-Q1-DEMO
2025-12,QLD,Northside Motors,Model J,J-STD,Plant 1,54,54,24,520,60,58,37,FY26-Q1-DEMO
2025-12,QLD,Northside Motors,Model J,J-PRO,Plant 1,54,54,24,520,60,44,28,FY26-Q1-DEMO
2025-12,QLD,Northside Motors,Model K,K-STD,Plant 3,53,53,24,480,60,59,38,FY26-Q1-DEMO
2025-12,QLD,Northside Motors,Model K,K-LITE,Plant 3,53,53,24,480,60,58,42,FY26-Q1-DEMO
2025-12,QLD,Northside Motors,Model L,L-STD,Plant 1,52,52,23,520,60,20,39,FY26-Q1-DEMO
2025-12,QLD,Northside Motors,Model L,L-MAX,Plant 1,52,52,23,520,60,45,34,FY26-Q1-DEMO
2025-12,QLD,Coastal Equipment,Model H,H-STD,Plant 2,56,74,31,420,20,35,35,FY26-Q1-DEMO
2025-12,QLD,Coastal Equipment,Model H,H-XL,Plant 2,56,58,25,420,20,130,70,FY26-Q1-DEMO
2025-12,QLD,Coastal Equipment,Model J,J-STD,Plant 1,54,54,24,520,60,37,37,FY26-Q1-DEMO
2025-12,QLD,Coastal Equipment,Model J,J-PRO,Plant 1,54,54,24,520,60,23,28,FY26-Q1-DEMO
2025-12,QLD,Coastal Equipment,Model K,K-STD,Plant 3,53,53,24,480,60,38,38,FY26-Q1-DEMO
2025-12,QLD,Coastal Equipment,Model K,K-LITE,Plant 3,53,53,24,480,60,27,42,FY26-Q1-DEMO
2025-12,QLD,Coastal Equipment,Model L,L-STD,Plant 1,52,52,23,520,60,39,39,FY26-Q1-DEMO
2025-12,QLD,Coastal Equipment,Model L,L-MAX,Plant 1,52,52,23,520,60,24,34,FY26-Q1-DEMO
2025-12,NSW,Harbour Dealership,Model H,H-STD,Plant 2,59,74,31,420,20,24,35,FY26-Q1-DEMO
2025-12,NSW,Harbour Dealership,Model H,H-XL,Plant 2,59,58,25,420,20,130,70,FY26-Q1-DEMO
2025-12,NSW,Harbour Dealership,Model J,J-STD,Plant 1,61,61,26,520,60,22,37,FY26-Q1-DEMO
2025-12,NSW,Harbour Dealership,Model J,J-PRO,Plant 1,61,61,26,520,60,36,28,FY26-Q1-DEMO
2025-12,NSW,Harbour Dealership,Model K,K-STD,Plant 3,62,62,27,480,60,21,38,FY26-Q1-DEMO
2025-12,NSW,Harbour Dealership,Model K,K-LITE,Plant 3,62,62,27,480,60,58,42,FY26-Q1-DEMO
2025-12,NSW,Harbour Dealership,Model L,L-STD,Plant 1,63,63,27,520,60,20,39,FY26-Q1-DEMO
2025-12,NSW,Harbour Dealership,Model L,L-MAX,Plant 1,63,63,27,520,60,35,34,FY26-Q1-DEMO
2025-12,NSW,Western Plains,Model H,H-STD,Plant 2,59,74,31,420,20,27,35,FY26-Q1-DEMO
2025-12,NSW,Western Plains,Model H,H-XL,Plant 2,59,58,25,420,20,130,70,FY26-Q1-DEMO
2025-12,NSW,Western Plains,Model J,J-STD,Plant 1,61,61,26,520,60,29,37,FY26-Q1-DEMO
2025-12,NSW,Western Plains,Model J,J-PRO,Plant 1,61,61,26,520,60,55,28,FY26-Q1-DEMO
2025-12,NSW,Western Plains,Model K,K-STD,Plant 3,62,62,27,480,60,30,38,FY26-Q1-DEMO
2025-12,NSW,Western Plains,Model K,K-LITE,Plant 3,62,62,27,480,60,59,42,FY26-Q1-DEMO
2025-12,NSW,Western Plains,Model L,L-STD,Plant 1,63,63,27,520,60,31,39,FY26-Q1-DEMO
2025-12,NSW,Western Plains,Model L,L-MAX,Plant 1,63,63,27,520,60,56,34,FY26-Q1-DEMO
2025-12,VIC,Metro Industrial,Model H,H-STD,Plant 2,63,66,28,420,20,34,35,FY26-Q1-DEMO
2025-12,VIC,Metro Industrial,Model H,H-XL,Plant 2,63,51,23,420,20,130,70,FY26-Q1-DEMO
2025-12,VIC,Metro Industrial,Model J,J-STD,Plant 1,65,65,28,520,60,36,37,FY26-Q1-DEMO
2025-12,VIC,Metro Industrial,Model J,J-PRO,Plant 1,65,65,28,520,60,22,28,FY26-Q1-DEMO
2025-12,VIC,Metro Industrial,Model K,K-STD,Plant 3,66,62,27,480,60,37,38,FY26-Q1-DEMO
2025-12,VIC,Metro Industrial,Model K,K-LITE,Plant 3,66,62,27,480,60,36,42,FY26-Q1-DEMO
2025-12,VIC,Metro Industrial,Model L,L-STD,Plant 1,67,67,28,520,60,38,39,FY26-Q1-DEMO
2025-12,VIC,Metro Industrial,Model L,L-MAX,Plant 1,67,67,28,520,60,23,34,FY26-Q1-DEMO
2025-12,VIC,Gippsland Trade,Model H,H-STD,Plant 2,63,66,28,420,20,38,35,FY26-Q1-DEMO
2025-12,VIC,Gippsland Trade,Model H,H-XL,Plant 2,63,51,23,420,20,130,70,FY26-Q1-DEMO
2025-12,VIC,Gippsland Trade,Model J,J-STD,Plant 1,65,65,28,520,60,36,37,FY26-Q1-DEMO
2025-12,VIC,Gippsland Trade,Model J,J-PRO,Plant 1,65,65,28,520,60,50,28,FY26-Q1-DEMO
2025-12,VIC,Gippsland Trade,Model K,K-STD,Plant 3,66,62,27,480,60,35,38,FY26-Q1-DEMO
2025-12,VIC,Gippsland Trade,Model K,K-LITE,Plant 3,66,62,27,480,60,44,42,FY26-Q1-DEMO
2025-12,VIC,Gippsland Trade,Model L,L-STD,Plant 1,67,67,28,520,60,34,39,FY26-Q1-DEMO
2025-12,VIC,Gippsland Trade,Model L,L-MAX,Plant 1,67,67,28,520,60,49,34,FY26-Q1-DEMO
2025-12,WA,West Coast Machinery,Model H,H-STD,Plant 2,59,62,27,420,20,23,35,FY26-Q1-DEMO
2025-12,WA,West Coast Machinery,Model H,H-XL,Plant 2,59,48,22,420,20,130,70,FY26-Q1-DEMO
2025-12,WA,West Coast Machinery,Model J,J-STD,Plant 1,61,47,21,520,60,25,37,FY26-Q1-DEMO
2025-12,WA,West Coast Machinery,Model J,J-PRO,Plant 1,61,47,21,520,60,51,28,FY26-Q1-DEMO
2025-12,WA,West Coast Machinery,Model K,K-STD,Plant 3,62,62,27,480,60,26,38,FY26-Q1-DEMO
2025-12,WA,West Coast Machinery,Model K,K-LITE,Plant 3,62,62,27,480,60,47,42,FY26-Q1-DEMO
2025-12,WA,West Coast Machinery,Model L,L-STD,Plant 1,63,63,27,520,60,27,39,FY26-Q1-DEMO
2025-12,WA,West Coast Machinery,Model L,L-MAX,Plant 1,63,63,27,520,60,52,34,FY26-Q1-DEMO
2025-12,WA,Pilbara Supply,Model H,H-STD,Plant 2,59,62,27,420,20,44,35,FY26-Q1-DEMO
2025-12,WA,Pilbara Supply,Model H,H-XL,Plant 2,59,48,22,420,20,130,70,FY26-Q1-DEMO
2025-12,WA,Pilbara Supply,Model J,J-STD,Plant 1,61,47,21,520,60,42,37,FY26-Q1-DEMO
2025-12,WA,Pilbara Supply,Model J,J-PRO,Plant 1,61,47,21,520,60,56,28,FY26-Q1-DEMO
2025-12,WA,Pilbara Supply,Model K,K-STD,Plant 3,62,62,27,480,60,41,38,FY26-Q1-DEMO
2025-12,WA,Pilbara Supply,Model K,K-LITE,Plant 3,62,62,27,480,60,58,42,FY26-Q1-DEMO
2025-12,WA,Pilbara Supply,Model L,L-STD,Plant 1,63,63,27,520,60,40,39,FY26-Q1-DEMO
2025-12,WA,Pilbara Supply,Model L,L-MAX,Plant 1,63,63,27,520,60,55,34,FY26-Q1-DEMO
2025-12,SA,Southern Fleet,Model H,H-STD,Plant 2,69,72,30,420,20,56,35,FY26-Q1-DEMO
2025-12,SA,Southern Fleet,Model H,H-XL,Plant 2,69,56,25,420,20,130,70,FY26-Q1-DEMO
2025-12,SA,Southern Fleet,Model J,J-STD,Plant 1,71,71,30,520,60,54,37,FY26-Q1-DEMO
